Username,Followers Count,Location,Description/Bio,Pinned Tweet ID
SenTedCruz,3361899.0,"Houston, Texas",Representing the State of Texas in the United States Senate.,1658532022279720961
SebGorka,1376143.0,The Swamp,A nice old lady once called me Mr. MAGA.,1602051849657282560
mattgaetz,2120614.0,Order FIREBRAND!,Florida man. Firebrand. America First.  Happy husband.,1658527241997778970
MarshaBlackburn,996206.0,"Brentwood, TN",I am honored to serve the people of Tennessee.,1658535126416908297
JennaEllisEsq,979379.0,Free State of Florida,America’s Lawyer. @JennaEllisAM radio on @AFRnet. THE JENNA ELLIS SHOW 👑 “Queen of Talk Radio in America” - Todd Starnes. Fmr Senior Adviser & Counsel @POTUS45,1275215576684802049
marcorubio,4521180.0,United States,"Christian,Husband,Father,AMERICAN,Senator for Florida, Instagram:@marcorubio Truth:@marcorubio #GatorNation #FinsUp",1658235819981692928
GOPChairwoman,1254197.0,,"@GOP Chairwoman | Wife, mother of two",1658534228844240904
GOPLeader - This account does not exist,,,,
HouseGOP,1585583.0,"Washington, DC",We are the Republican Conference in the United States House of Representatives 🇺🇸,1647948754924838912
JaniceDean,592124.0,NYC!,Mostly sunny with an occasional storm. Opinions are mine.,1658546832610344961
EliseStefanik,674315.0,#NY21 ,Sam’s Mom 👶🏻 #NY21 Congresswoman. House GOP Conference Chair 🐘 New Ideas💡New Generation of Leadership 💫 Real Results🔨Electing #GOPWomen #EPAC 🙋🏻‍♀️🇺🇸,1432318973090086914
LisaMarieBoothe,837138.0,"Miami, FL",📺 @FoxNews | 🎙 The Truth with Lisa Boothe @iHeartradio,1460246417272889349
RonnyJacksonTX,635584.0,"Amarillo, Texas","Congressman for #TX13 | Former White House Physician & Retired Navy Rear Admiral | Texan, Veteran, Physician, Leader",1475594195360530446
TomCottonAR,494253.0,"Dardanelle, AR","U.S. Senator for Arkansas. For official updates, see @SenTomCotton. RLTW.",1587449433972776962
RepAndyBiggsAZ,723891.0,"Arizona, USA",Representing Arizona's Fighting Fifth. Member of the @JudiciaryGOP and @GOPoversight committees.,1575892526992883712
MonicaCrowley,894989.0,America 🇺🇸,Host of the Monica Crowley Podcast! Forever a happy warrior. Former Assistant Secretary of the Treasury 🇺🇸 Instagram.com/monicacrowley_,1658503339921793026
RepStefanik,465824.0,,Proud Representative for New York's 21st Congressional District. House Republican Conference Chair. 📸 Instagram: @repstefanik,1432328689358868480
jsolomonReports,963061.0,"Washington, DC","John Solomon is an award-winning investigative journalist and founder of Just the News. He has worked at AP, WaPo, TWT, and The Hill.",1657126982004482050
SaraCarterDC,1518134.0,"Washington, D.C.","@FoxNews Contributor, Award-winning. Host, The Sara Carter Show. IG: ScarterDC, FB: Sara A. Carter linktr.ee/saraacarter",1651308113390075923
DailyCaller,1080107.0,"Washington, DC",Stream “DAMAGED: The Transing of America's Kids” Today | #RealNewsStartsHere,1656039007497666578
